start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,batch_id
2026-05-07T20:05:00.000+02:00,2026-05-07T20:10:00.000+02:00,Inventory,4,3,"~2026-27624-00, ফারদিন, ClueBot NG",Reverted edit by [[Special:Contribs/~2026-27624-00|~2026-27624-00]] ([[User talk:~2026-27624-00|talk]]) to last version by ClueBot NG,1353022983,159
2026-05-07T20:06:00.000+02:00,2026-05-07T20:11:00.000+02:00,Inventory,4,3,"~2026-27624-00, ফারদিন, ClueBot NG",Reverted edit by [[Special:Contribs/~2026-27624-00|~2026-27624-00]] ([[User talk:~2026-27624-00|talk]]) to last version by ClueBot NG,1353022983,159
